City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,corner brook,48.9667,-57.9484,18.09,91,76,4.86,CA,1693256058
208,qui nhon,13.7667,109.2333,26.73,78,100,2.79,VN,1693256058
209,portland,45.5234,-122.6762,22.53,82,100,1.54,US,1693255753
210,tchibanga,-2.85,11.0333,23.24,80,100,1.54,GA,1693256058
211,tvoroyri,61.5556,-6.8111,11.39,92,49,6.16,FO,1693256058
212,ganta,7.3022,-8.5308,21.57,99,100,1.36,LR,1693256058
213,utrik,11.2278,169.8474,28.4,78,96,6.49,MH,1693256059
214,houlton,46.1262,-67.8403,25.9,47,20,4.63,US,1693256059
215,bealanana,-14.55,48.7333,13.34,94,29,2.11,MG,1693256059
216,alofi,-19.0595,-169.9187,22.94,68,40,4.12,NU,1693256059
217,cadale,2.7603,46.3222,25.27,87,99,9.51,SO,1693256059
218,greymouth,-42.4667,171.2,3.7,86,27,2.9,NZ,1693256060
219,haiku-pauwela,20.9219,-156.3051,28.01,54,20,9.26,US,1693256060
220,tura,25.5198,90.2201,23.89,86,100,1.29,IN,1693256060
221,hell-ville,-13.4,48.2667,25.52,72,21,4.79,MG,1693256060
222,constantia,44.1833,28.65,24.38,57,0,3.42,RO,1693256060
223,la ronge,55.1001,-105.2842,26.12,50,75,5.14,CA,1693256061
224,margate,51.3813,1.3862,17.71,69,98,0.89,GB,1693256061
225,verkhnevilyuysk,63.4453,120.3167,15.65,80,55,1.49,RU,1693256061
226,keflavik,64.0049,-22.5624,12.95,87,75,7.72,IS,1693256062
227,badvel,14.75,79.05,28.89,60,94,1.38,IN,1693256062
228,dawson creek,55.7666,-120.2362,28.1,30,20,2.57,CA,1693255902
229,weno,7.4515,151.8468,26.97,89,100,4.63,FM,1693256062
230,el alto,-4.2714,-81.2147,24.81,69,11,8.04,PE,1693256063
231,middelburg,-25.7751,29.4648,9.36,49,0,2.82,ZA,1693256063
232,douz,33.4663,9.0203,27.53,51,0,9.53,TN,1693256063
233,nagqu,31.5,92.0,2.7,96,83,2.05,CN,1693256002
234,badger,64.8,-147.5333,11.14,80,75,0.0,US,1693256063
235,beloyarskiy,63.7119,66.6722,11.18,68,89,2.88,RU,1693256063
236,richards bay,-28.783,32.0377,15.72,80,5,2.71,ZA,1693256064
237,krasnovishersk,60.4078,57.082,6.06,95,11,2.14,RU,1693256064
238,saint-yrieix-la-perche,45.516,1.2057,16.27,85,95,1.48,FR,1693256064
239,ulanhot,46.0833,122.0833,13.78,90,98,4.75,CN,1693256064
240,labytnangi,66.6572,66.4183,7.39,74,11,1.92,RU,1693256036
241,birao,10.2849,22.7882,23.42,83,99,2.07,CF,1693256064
242,bat khela,34.6167,71.9714,23.35,71,77,1.91,PK,1693256065
243,jianguang,28.1938,115.7836,21.57,94,100,0.85,CN,1693256065
244,queenstown,-31.8976,26.8753,11.66,23,1,1.0,ZA,1693256065
245,rio grande,-32.035,-52.0986,16.06,76,8,3.07,BR,1693256065
246,richmond,37.5538,-77.4603,23.79,95,100,4.12,US,1693255796
247,santa ana de yacuma,-13.75,-65.4333,33.97,33,20,5.14,BO,1693256065
248,butte,39.6499,-121.5677,35.55,31,0,2.06,US,1693256066
249,carnarvon,-24.8667,113.6333,18.24,67,0,4.58,AU,1693256066
250,cova figueira,14.8905,-24.2934,24.85,80,58,1.46,CV,1693256066
251,port augusta,-32.5,137.7667,13.61,52,22,2.45,AU,1693256066
252,trincomalee,8.5711,81.2335,27.54,74,100,8.82,LK,1693256066
253,suva,-18.1416,178.4415,22.71,73,75,3.09,FJ,1693256067
254,fisterra,42.9049,-9.2629,18.75,84,97,5.59,ES,1693256067
255,morondava,-20.2833,44.2833,25.02,55,1,8.36,MG,1693256067
256,saint-mandrier-sur-mer,43.078,5.929,20.92,47,0,10.29,FR,1693255786
257,nieuw amsterdam,5.8833,-55.0833,32.3,64,40,5.14,SR,1693256068
258,hilo,19.7297,-155.09,25.53,79,75,3.6,US,1693255884
259,ashkasham,36.6833,71.5333,7.9,61,1,0.08,AF,1693256068
260,kabinda,-6.1333,24.4833,26.78,23,49,3.66,CD,1693256068
261,nova sintra,14.8667,-24.7167,24.83,77,85,4.12,CV,1693256068
262,opuwo,-18.0607,13.84,23.03,20,3,2.36,NA,1693256068
263,camana,-16.6228,-72.7111,19.52,73,7,2.25,PE,1693256069
264,vila velha,-20.3297,-40.2925,19.97,98,100,2.06,BR,1693256010
265,shingu,33.7333,135.9833,24.19,90,14,1.3,JP,1693256069
266,sharlyk,52.9167,54.75,8.52,87,100,2.88,RU,1693256069
267,aba,5.1066,7.3667,24.35,93,100,1.98,NG,1693256069
268,yacuiba,-22.038,-63.6797,23.43,38,51,3.09,BO,1693256070
269,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,87,75,2.0,RU,1693256070
270,formosa do rio preto,-11.0483,-45.1931,24.76,71,99,3.0,BR,1693256070
271,kishapu,-3.6167,33.8667,22.86,30,5,5.53,TZ,1693256070
